rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
TCDCA	Dny-BSH2	0.311332312124491	TCDCA
GCDCA	ctrl	0.318166404768487	TLCA
GDCA	Lgasseri-BSH	0.319171286363413	GCA
Phe-UDCA	LCAG-95-BSH1208	0.320604293275776	GCDCA
TCDCA	Dny-BSH1	0.322313566134525	TDCA
Trp-UDCA	AZ-52	0.323052792599132	GCA
GDCA	LCAG-95-BSH1208	0.323177976723165	TLCA
TDCA	Ep-BSH101	0.325512046350326	TUDCA
GUDCA	Ep-BSH101	0.327387341130526	GUDCA
GCA	Lgasseri-BSH	0.328952357378913	GLCA
TCDCA	EcAZ-1-cat	0.330504993796316	TUDCA
GDCA	Lgasseri-BSH	0.332688629066935	TLCA
TDCA	LCAG-95-BSH1208	0.335814578566773	GLCA
GUDCA	LCAG-95-BSH1208	0.336443630647503	TCA
GCA	EcAZ-1-cat	0.336751684814288	GDCA
GCA	LCAG-95-BSH1208	0.337481865447806	GLCA
GDCA	LCAG-95-BSH1208	0.338553501519964	TCDCA
TUDCA	AZ-52	0.339237148768317	TCDCA
GUDCA	AZ-52	0.340421161466934	GCA
GLCA	Dny-BSH1	0.340751658161989	GCA
Tyr-UDCA	Ep-BSH101	0.340808178594896	GLCA
TDCA	Ep-BSH101	0.341088252041192	GCA
TCDCA	Dny-BSH2	0.341184246511487	TUDCA
Tyr-UDCA	AZ-52	0.341989028273271	TCA
TCDCA	AZ-52	0.344488243164633	TLCA
GDCA	AZ-52	0.346286821462348	TCA
GLCA	LCAG-95-BSH1208	0.347554769287434	TDCA
Trp-UDCA	Dny-BSH1	0.348594495911763	TLCA
GLCA	Ep-BSH101	0.348730509437296	TCDCA
GLCA	EcAZ-1-cat	0.349842735734063	GDCA
TCDCA	Lgasseri-BSH	0.351334987704752	TDCA
GCDCA	Lgasseri-BSH	0.351357835750242	GLCA
GDCA	Dny-BSH1	0.352100252058222	TLCA
TUDCA	Dny-BSH1	0.352210696905642	GLCA
GCA	Dny-BSH2	0.352622115053507	TUDCA
GLCA	Dny-BSH2	0.352736908553876	GCA
GCA	EcAZ-1-cat	0.353304403158169	GLCA
GLCA	Lgasseri-BSH	0.353515872714911	TCA
TUDCA	AZ-52	0.353545641933308	TLCA
GCA	Ep-BSH101	0.353709957952054	GLCA
GCDCA	Ep-BSH101	0.35696361353659	GDCA
GCA	ctrl	0.357044333221958	GUDCA
Phe-UDCA	Dny-BSH1	0.357577137426243	TCDCA
Lys-UDCA	Dny-BSH1	0.358094185215247	GUDCA
GUDCA	Dny-BSH2	0.360591946680239	GUDCA
GCDCA	EcAZ-1-cat	0.360801333142307	GCDCA
GLCA	Dny-BSH2	0.361511151813443	TCA
GDCA	Dny-BSH2	0.36194538015662	TUDCA
GCA	Lgasseri-BSH	0.36217524279473	TCA
GDCA	Dny-BSH1	0.364119148561645	TUDCA
GCA	Lgasseri-BSH	0.36717393579402	TLCA
GCA	Ep-BSH101	0.368807719321461	TDCA
TCDCA	Dny-BSH1	0.368859290619712	GLCA
