name	ratio	min	max	phase
Lactococcus lactis subsp. lactis CNCM I-1631-G6FB77	-4.02140171428349	-10.9447	1.38033	light
Marinilabilia rubra-A0A2U2B742	2.184120175265	-3.14812	7.94885	light
Roseburia inulinivorans-A0A0M6WMX1	0.4442290788325	-0.73008	1.49385	light
Butyricimonas synergistica-A0A1U7LEI1	-2.9183755014995	-10.6975	3.27029	light
Secundilactobacillus pentosiphilus-A0A1Z5ILG0	-2.64643285408	-9.90078	4.5938	light
Dorea formicigenerans-A0A3E4F7X5	0.43409362004	-0.692242	1.60906	light
Flavonifractor plautii 1_3_50AFAA-A0A096DGB7	-0.248251237485	-3.09074	2.51275	light
Bacteroides uniformis-A0A3E5F5J9	1.550929380278	-2.25859	6.01913	light
Amedibacillus dolichus DSM 3991-A8RCC5	0.768487420345999	-0.605279	2.18048	light
Microbulbifer agarilyticus-A0A1Q2M653	-2.394079366465	-10.327	3.88728	light
Faecalibacillus faecis-A0A2T3G497	-2.604231756015	-9.18095	4.39353	light
Nonomuraea cavernae-A0A917Z676	-2.465776272525	-9.8681	4.34583	light
Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437-D7VDZ4	-2.58066981405249	-10.7658	3.31119	light
Bailinhaonella thermotolerans-A0A3A4BWT6	-0.05826175582	-2.10202	1.85028	light
Limosilactobacillus mucosae DSM 13345-A0A0R1NYZ2	-2.593169726205	-8.97444	3.59672	light
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0B8QRG3	-3.83087690466	-10.4128	1.49943	light
Peptostreptococcus russellii-A0A1H8EXQ4	-2.73184671605624	-9.86833	3.80574	light
Lactobacillus intestinalis-A0A4S2BS46	-2.6250023446655	-10.6096	4.42173	light
Alistipes finegoldii (strain DSM 17242 / JCM 16770 / CCUG 46020 / CIP 107999 / KCTC 15236 / AHN 2437)-I3YQ11	-2.58788728124	-9.70925	3.2745	light
Lactobacillus johnsonii-A0A7H9E371	-2.4651924132094	-9.90295	5.0269	light
Muribaculum intestinale-A0A4S2G132	-3.12355036285	-5.7125	-0.488363	light
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A270NJB4	-2.43665133212001	-10.2107	3.82229	light
Listeria monocytogenes-A0A2Z5BZ01	2.25276586670499	-1.11895	5.70678	light
Hyphomicrobium album-A0A6I3KLU9	-2.470502615701	-8.94902	4.67855	light
Yersinia massiliensis-A0A2R4NMT5	-2.64520515006	-10.0513	3.34153	light
Parabacteroides goldsteinii-A0A6G1ZF03	-4.116583524345	-10.4326	1.08054	light
Bacteroides sp. CAG:754-R6DFK2	1.727694659745	-3.26795	6.66165	light
Vibrio variabilis-A0A090SRK5	2.513455990525	0.399937	4.83816	light
Bacteroides oleiciplenus YIT 12058-K9E4J5	-3.869057665365	-9.90378	1.44676	light
Blautia sp. CAG:52-R6H1U8	0.776381979355001	-0.0430776	1.71807	light
Vagococcus martis-A0A1V4DJV9	2.1330055317195	-3.35875	7.8012	light
Bacteroides intestinalis-A0A139KYW1	-3.8877503772	-10.4519	1.25058	light
Enterococcus mundtii CRL35-A0A022NDM8	-2.80088197971	-10.3695	3.37264	light
Clostridium sp. CAG:75-R5SJZ7	1.21190922041	-0.206161	2.86898	light
Vibrio cholerae B33-A0A0H3Q2B4	-2.367757638224	-9.32776	4.0946	light
Enterococcus faecium (Streptococcus faecium)-A0A286V0V7	-4.023013322875	-10.3549	1.56383	light
Roseburia intestinalis-A0A3R6B4X0	0.299151251675	-1.18963	1.89344	light
Alistipes communis-A0A4Y1WRS0	-2.6030361841605	-10.3375	4.60347	light
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)-A0KIW5	-2.475509918995	-9.56028	4.05192	light
Bacteroides uniformis-A0A414F520	-0.1290482277135	-3.01302	2.55568	light
Bacteroides thetaiotaomicron-A0A139KZW9	-2.61588286816	-9.28233	3.85704	light
Acinetobacter nosocomialis NIPH 386-A0A0E2GKA3	-2.455065170855	-10.4729	4.92657	light
Anaerocolumna sedimenticola-A0A6P1TS46	0.230660372692	-0.580427	0.993199	light
Microbulbifer aggregans-A0A1C9W8W2	-0.103148398576	-3.02179	2.0513	light
Salipaludibacillus aurantiacus-A0A1H9Q7N9	-2.39118784114	-9.78123	5.1787	light
Listeria swaminathanii-A0A7X1A1P2	-2.576821018575	-9.96628	3.5713	light
Limosilactobacillus ingluviei DSM 15946-A0A0R1U3N2	-2.7732810316674	-10.3495	4.3932	light
Clostridium butyricum-A0A6N3H660	-2.214304521925	-9.52743	4.72254	light
Catenibacillus scindens-A0A7W8H7H0	-3.774910964855	-9.50281	1.46677	light
Flavonifractor plautii 1_3_50AFAA-A0A096B1U0	-0.8148062962555	-2.52821	1.05935	light
Ruminococcus sp. CAG:177-R6IXZ0	1.413754497645	-0.610922	3.65765	light
Bacteroides salyersiae CL02T12C01-I9SK95	-2.73008133527349	-9.99014	4.20799	light
Lactobacillus kalixensis DSM 16043-A0A0R1UBK2	-2.41646262582	-9.15516	4.34645	light
Streptococcus alactolyticus-A0A6N7X3K9	1.51544964778	-2.66849	6.12257	light
Anaerotruncus colihominis-A0A845QFI0	0.328452208278	-0.470002	1.19856	light
Rhodococcus rhodochrous J3-A0A1X7L9F3	-2.595585346265	-10.0602	3.67091	light
Limosilactobacillus ingluviei-A0A0R2H586	-2.215283477035	-8.94184	4.29476	light
Enterococcus cecorum-A0A7X9RJL6	-2.102335042895	-10.6172	5.50402	light
Bacteroides fragilis str. S36L11-A0A015X5Y2	-2.64375932236001	-9.77021	4.33545	light
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8C033	-0.544571854276501	-4.60614	3.37496	light
Lactobacillus johnsonii DPC 6026-F4AEI5	-2.4651924132094	-9.90295	5.0269	light
Enterococcus faecium (Streptococcus faecium)-A0A807NF05	-3.768709119749	-9.79242	1.5422	light
Francisella tularensis subsp. holarctica-A0A0B6E3D5	-2.470502615701	-8.94902	4.67855	light
Lactobacillus hominis DSM 23910 = CRBIP 24.179-I7L5X3	-2.4651924132094	-9.90295	5.0269	light
Pseudoscardovia radai-A0A261EQB5	1.085382308965	-1.20425	2.98332	light
[Clostridium] clostridioforme 90A6-R0B824	2.61170268338	-0.0729147	5.76769	light
Anaerobutyricum hallii-A0A173S778	1.356824045625	-0.112482	2.90363	light
Anaerostipes hadrus-D4N0V8	0.83979694755	-0.914753	2.53457	light
Enterococcus faecium (Streptococcus faecium)-A0A3F3NRP2	-2.674928139895	-9.6997	3.58664	light
Ligilactobacillus murinus DSM 20452 = NBRC 14221-A0A0R2BEH4	-2.539083001217	-9.71176	3.41219	light
Lactobacillus taiwanensis-A0A256LDW7	-2.4651924132094	-9.90295	5.0269	light
