FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF02911.21	2	6	1	0	0	7	2	3	1	0	1	5
PF06983.16	0	1	0	0	0	0	0	0	0	0	1	0
PF12072.11	41	123	7	72	54	160	35	38	60	52	40	93
PF01182.23	13	82	1	10	9	71	10	7	9	8	16	10
PF00712.22	3	11	0	4	6	13	3	5	2	2	0	7
PF02767.19	3	11	0	4	6	13	3	5	2	2	0	7
PF02768.18	3	11	0	4	6	13	3	5	2	2	0	7
PF01116.23	47	130	10	101	33	177	42	78	55	68	33	80
PF03129.23	20	42	2	32	35	58	17	28	29	31	29	53
PF03477.19	18	56	5	27	7	91	14	16	19	20	19	25
PF14681.9	5	9	2	6	1	7	0	2	5	3	3	7
PF01053.23	0	8	0	5	2	12	4	6	3	3	3	9
PF02646.19	0	0	1	0	0	0	0	1	0	0	1	0
PF16745.8	3	0	0	3	4	4	0	2	1	0	2	3
PF03193.19	3	0	0	4	4	4	0	2	1	0	2	3
PF01588.23	9	23	8	13	17	26	11	10	18	15	18	23
PF03483.20	2	8	4	5	7	6	3	2	6	3	5	6
PF03484.18	2	8	4	5	6	6	3	2	6	3	4	5
PF17759.4	2	8	4	5	6	6	3	2	6	3	4	5
PF03147.17	2	8	4	5	6	6	3	2	6	3	4	5
PF02912.21	3	2	2	1	1	8	3	1	1	6	1	3
PF01409.23	3	2	2	1	1	8	3	1	1	6	1	3
PF02421.21	3	8	1	5	3	10	4	4	6	2	2	5
PF17910.4	3	7	1	3	2	9	4	4	5	2	2	5
PF07670.17	6	15	2	9	6	19	8	8	12	5	4	10
PF07664.15	3	8	1	5	3	9	4	4	6	2	2	5
PF00704.31	1	6	0	5	6	12	2	3	7	3	3	4
PF02839.17	0	0	0	0	1	0	0	0	0	0	2	0
PF03067.18	0	0	0	0	0	0	0	0	0	0	1	0
PF01872.20	3	2	1	3	2	2	0	0	4	1	0	2
PF01336.28	14	45	5	28	23	68	10	10	21	24	14	39
PF00152.23	9	38	4	31	21	49	10	8	21	23	13	31
PF02938.17	5	14	2	5	7	13	2	2	7	8	5	7
PF13393.9	0	7	0	2	2	14	3	3	3	5	2	7
PF13413.9	0	0	1	0	0	0	0	0	0	0	0	0
PF00675.23	4	26	3	5	7	15	9	10	6	4	5	14
PF05193.24	7	35	6	8	12	18	13	13	9	6	5	23
PF03780.16	6	26	1	10	4	29	10	7	8	6	9	7
PF16363.8	13	50	5	22	23	51	11	11	18	16	9	46
PF10509.12	4	24	7	7	11	18	5	4	7	4	2	8
PF00288.29	6	29	9	9	17	20	6	6	10	5	5	10
PF08544.16	4	26	9	7	16	20	6	3	1	3	2	4
PF01136.22	5	8	1	6	7	18	9	2	6	6	3	2
