#FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF06135.15	0.0	13.824	0.0	13.219	10.463	66.16	11.618	23.94	54.802	39.422	0.0	13.697	35.669	27.452	0.0	30.964	25.238	54.105	13.822	14.166	15.08	14.842	48.581	38.712	259.696	72.21	56.767	52.29	0.0	110.106	266.925	32.707	66.659	201.603	18.179	50.716	380.701	13.906	61.195	76.392	16.513	72.533	IreB regulatory phosphoprotein
PF06949.14	7.932	57.55	27.8	49.94	0.0	90.223	0.0	45.312	0.0	46.784	11.156	33.694	0.0	0.0	72.571	38.341	32.915	34.299	0.0	14.327	26.489	75.12	33.476	0.0	166.145	73.032	19.581	131.032	32.037	231.144	561.547	25.929	11.866	315.787	45.553	65.036	247.47	35.715	0.0	216.086	46.148	26.964	Protein of unknown function (DUF1292)
PF20297.1	1.124	10.63	3.442	11.789	7.892	17.652	6.533	8.574	4.518	11.095	5.516	8.595	3.888	3.011	5.128	11.521	0.0	2.464	5.995	5.977	1.672	6.295	8.09	4.303	14.372	41.758	44.129	22.987	34.076	95.658	74.001	35.836	42.826	46.596	18.064	15.406	37.067	13.136	8.05	29.421	33.82	12.652	MutS2 and Smr-associated SH3 domain
PF01177.25	3.272	4.423	4.977	4.186	10.187	16.689	3.816	0.0	12.621	12.942	7.986	4.066	0.0	4.377	0.0	4.597	8.937	0.0	4.39	4.652	0.0	17.924	0.0	4.115	42.898	40.61	13.71	13.683	18.582	105.13	29.716	55.718	39.074	54.974	40.735	34.41	54.376	17.432	33.974	24.03	80.244	38.271	Asp/Glu/Hydantoin racemase
PF01725.19	0.0	54.751	0.0	11.355	14.165	40.735	10.238	5.244	0.0	11.451	17.255	5.93	5.123	6.323	5.1	0.0	5.537	9.926	6.112	6.081	13.404	41.245	10.741	0.0	63.907	31.7	49.589	11.842	18.667	88.092	47.984	84.06	75.85	77.577	23.65	30.348	17.651	34.991	12.995	81.223	84.97	43.745	Ham1 family
PF06103.14	0.0	0.0	0.0	8.172	6.395	0.0	0.0	0.0	16.549	0.0	6.065	15.982	0.0	0.0	0.0	0.0	0.0	6.651	0.0	0.0	0.0	0.0	0.0	0.0	13.213	0.0	0.0	85.209	0.0	0.0	120.175	0.0	0.0	54.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacterial protein of unknown function (DUF948)
PF03009.20	15.945	48.52	0.0	25.617	3.276	27.564	7.818	15.581	9.194	23.509	2.085	4.753	11.459	23.677	29.845	9.936	0.0	5.997	8.327	9.779	9.893	19.269	12.344	0.0	69.182	17.996	62.532	32.688	75.372	96.525	78.671	54.777	80.605	98.685	37.343	60.909	58.751	15.27	29.601	71.202	46.047	28.569	Glycerophosphoryl diester phosphodiesterase family
PF00438.23	12.836	36.004	0.0	20.808	8.574	44.099	18.288	21.294	9.057	19.215	5.563	5.205	5.394	6.098	12.85	26.592	10.735	9.88	6.182	18.239	13.296	43.186	37.529	0.0	237.64	35.066	92.53	60.309	62.752	157.332	120.284	118.099	93.368	143.394	71.978	42.778	139.499	34.657	61.411	148.272	93.796	35.733	S-adenosylmethionine synthetase, N-terminal domain
PF02772.19	12.836	36.004	0.0	20.808	8.574	44.099	18.288	21.294	9.057	19.215	5.563	5.205	5.394	6.098	12.85	26.592	10.735	9.88	6.182	18.239	13.296	43.186	37.529	0.0	237.64	39.561	92.53	60.309	62.752	157.332	127.961	118.099	93.368	143.394	71.978	42.778	139.499	34.657	61.411	148.272	79.514	35.733	S-adenosylmethionine synthetase, central domain
PF02773.19	12.836	36.004	0.0	20.808	8.574	44.099	18.288	21.294	9.057	19.215	5.563	5.205	5.394	6.098	12.85	26.592	10.735	9.88	6.182	18.239	13.296	43.186	37.529	0.0	237.64	39.561	92.53	60.309	62.752	157.332	127.961	118.099	107.463	143.394	71.978	42.778	139.499	34.657	61.411	148.272	79.514	35.733	S-adenosylmethionine synthetase, C-terminal domain
