FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF00665.29	4214.262	4786.473	3064.975	2719.787	3347.244	4638.443	6203.813	4151.932	5816.353	1317.72	3121.803	2978.424
PF13333.9	2041.13	2363.932	1366.887	741.289	1279.446	2005.904	2799.79	2541.271	940.095	834.598	746.592	403.335
PF00793.23	180.72	607.555	383.724	267.34	331.76	370.815	424.404	353.805	451.296	463.967	586.622	401.158
PF11797.11	0	0	28.973	22.198	35.188	52.273	0	0	0	0	0	0
PF00381.22	1279.037	1933.84	823.71	1156.402	693.534	676.22	555.865	606.283	371.493	1687.596	706.714	183.259
PF00872.21	3506.186	3298.4	2051.506	2410.727	1898.515	3285.576	3469.389	2260.646	4199.072	1147.388	1823.111	808.628
PF08206.14	175.359	324.772	235.977	179.208	197.774	241.317	196.28	208.032	90.555	144.827	251.66	172.03
PF17876.4	175.359	324.772	235.977	179.208	197.774	241.317	196.28	220.272	90.555	144.827	251.66	172.03
PF00773.22	175.359	324.772	235.977	179.208	197.774	241.317	196.28	220.272	90.555	144.827	251.66	172.03
PF00575.26	2333.405	3611.023	3066.32	3179.234	2359.389	1831.875	2724.758	2464.985	2846.73	3241.693	2460.139	2921.912
PF00155.24	2888.221	2511.619	2144.617	2157.689	2493.869	2367.357	2699.188	1729.709	2049.132	2167.662	1956.659	2475.374
PF13393.9	355.924	0	483.321	419.121	507.631	646.405	486.961	520.106	329.579	446.597	402.44	526.584
PF01634.21	288.598	426.126	87.19	213.76	275.52	191.582	112.566	238.045	149.032	105.934	148.527	302.031
PF00815.23	289.283	97.388	270.916	80.349	127.371	197.852	85.355	242.508	199.186	106.208	230.09	189.203
PF00475.21	210.955	0	114.717	263.384	46.441	216.513	0	176.635	0	0	271.662	165.571
PF01636.26	395.665	345.295	459.026	376.553	338.361	450.216	389.314	446.899	372.973	584.833	372.037	677.33
PF00117.31	1185.529	1268.494	1139.837	1228.102	1178.041	1125.413	869.673	966.704	749.021	1102.248	1137.441	1043.603
PF05524.16	562.234	228.833	436.133	530.949	474.255	505.987	442.898	440.766	302.763	677.997	554.903	294.153
PF00391.26	1074.566	806.548	848.852	1162.349	968.917	900.198	805.912	919.257	765.407	1348.031	1054.698	803.05
