FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF01220.22	274.939	97.716	152.606	466.102	341.665	226.619	0	103.749	0	0	0	110.345
PF12116.11	0	108.322	0	0	568.123	0	0	0	88.852	0	1060.109	0
PF16369.8	0	0	0	0	0	0	23.32	0	0	0	0	0
PF14285.9	51.583	0	0	0	0	54.679	118.035	0	110.581	120.808	358.977	37.492
PF09212.13	0	0	0	0	0	0	0	0	0	0	0	0
PF02156.18	0	0	0	0	0	0	0	0	0	0	0	0
PF13570.9	0	0	0	0	0	0	0	0	0	0	0	0
PF09966.12	0	72.382	0	0	0	35.971	49.214	253.608	168.962	0	0	0
PF03412.18	127.857	81.717	0	292.339	0	20.305	0	0	246.83	353.727	0	0
PF20456.1	204.76	72.774	340.958	520.691	381.68	108.504	0	0	154.444	166.278	0	166.986
PF19484.2	516.775	505.769	281.055	217.255	477.76	462.967	400.054	193.433	270.932	529.9	72.479	794.596
PF16822.8	0	23.406	0	0	0	0	25.479	0	0	0	198.155	33.35
PF14751.9	43.995	156.307	439.357	223.653	0	154.996	405.771	0	145.939	308.855	0	344.173
PF01978.22	0	41.04	0	0	0	0	0	0	0	124.214	0	59.102
PF11495.11	0	0	0	0	0	0	0	0	0	124.214	0	59.102
PF00668.23	199.373	198.395	29.199	44.591	0	19.937	20.919	36.986	25.715	328.323	304.412	21.066
PF00246.27	0	0	0	0	0	0	0	0	0	0	0	0
PF04493.17	0	0	0	0	0	0	47.383	0	0	0	0	0
PF16738.8	0	0	0	0	0	0	0	21.631	0	0	0	0
PF16561.8	0	0	0	0	0	0	0	21.631	0	0	0	0
PF13289.9	774.651	787.501	1009.388	973.196	1320.124	902.248	1104.082	1197.851	633.075	0	225.369	946.671
PF08974.13	0	0	0	0	0	0	0	0	0	0	0	0
PF10387.12	0	0	0	0	0	0	125.169	0	0	0	0	0
PF13711.9	0	282.389	0	0	0	118.705	0	0	0	0	0	0
PF03869.17	0	0	0	0	0	0	0	0	0	0	0	0
PF20612.1	0	0	0	0	0	0	0	0	0	0	0	0
PF10593.12	0	12.814	0	0	0	12.736	15.84	81.628	65.26	0	0	0
PF06855.15	0	0	0	0	0	0	0	0	0	0	0	210.395
PF20016.2	0	0	0	0	0	0	0	0	0	0	318.771	0
PF18756.4	0	0	0	0	0	0	125.169	0	0	0	0	0
