mouseid	condition	cageid	weight	week
NT5a	NT	5a	25.4	6
NT5b	NT	5b	25.8	6
NT5c	NT	5c	28.5	6
NT6a	NT	6a	26.2	6
NT6b	NT	6b	26.9	6
NT6c	NT	6c	24.9	6
NT7a	NT	7a	23.8	6
NT7b	NT	7b	26.7	6
NT7c	NT	7c	26.4	6
NT8a	NT	8a	22.3	6
NT8b	NT	8b	25.1	6
NT8c	NT	8c	24.4	6
FA1a	FA	1a	45.6	7
FA1b	FA	1b	41.1	7
FA1c	FA	1c	43.5	7
FA2a	FA	2a	40.9	7
FA2b	FA	2b	41.1	7
FA2c	FA	2c	41.3	7
FA3a	FA	3a	34.8	7
FA3b	FA	3b	34.2	7
FA3c	FA	3c	45.1	7
FA4a	FA	4a	39.0	7
FA4b	FA	4b	40.1	7
FA4c	FA	4c	41.1	7
FA5a	FA	5a	34.3	7
FA5b	FA	5b	39.5	7
FA5c	FA	5c	34.1	7
FA6a	FA	6a	36.3	7
FA6b	FA	6b	38.5	7
FA6c	FA	6c	38.0	7
FA7a	FA	7a	28.3	7
FA7b	FA	7b	35.4	7
FA7c	FA	7c	30.3	7
FA8a	FA	8a	33.4	7
FA8b	FA	8b	35.1	7
FA8c	FA	8c	34.5	7
FT1a	FT	1a	34.0	7
FT1b	FT	1b	32.5	7
FT1c	FT	1c	30.7	7
FT2a	FT	2a	33.0	7
FT2b	FT	2b	32.2	7
FT2c	FT	2c	33.8	7
FT3a	FT	3a	28.6	7
FT3b	FT	3b	27.5	7
FT3c	FT	3c	32.8	7
FT4a	FT	4a	29.8	7
FT4b	FT	4b	28.7	7
FT4c	FT	4c	28.2	7
FT5a	FT	5a	28.6	7
FT5b	FT	5b	27.9	7
FT5c	FT	5c	30.9	7
FT6a	FT	6a	28.6	7
FT6b	FT	6b	29.7	7
FT6c	FT	6c	28.3	7
FT7a	FT	7a	27.0	7
FT7b	FT	7b	30.4	7
FT7c	FT	7c		7
FT8a	FT	8a	29.9	7
FT8b	FT	8b	29.1	7
FT8c	FT	8c		7
NA1a	NA	1a	27.2	7
NA1b	NA	1b	26.4	7
NA1c	NA	1c	28.6	7
NA2a	NA	2a	30.4	7
NA2b	NA	2b	26.6	7
NA2c	NA	2c	31.2	7
NA3a	NA	3a	30.2	7
NA3b	NA	3b	27.6	7
NA3c	NA	3c	31.2	7
NA4a	NA	4a	28.2	7
NA4b	NA	4b	24.1	7
NA4c	NA	4c	28.8	7
NA5a	NA	5a	28.4	7
NA5b	NA	5b	25.0	7
NA5c	NA	5c	27.9	7
NA6a	NA	6a	31.5	7
NA6b	NA	6b	27.7	7
NA6c	NA	6c	28.2	7
