sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P3_H9_GUDCA_ctrl_24h.mzML Peak area	P3_H9_GUDCA_ctrl_24h.mzML	P3	H9	GUDCA	ctrl	24h
P5_H9_GUDCA_ctrl_24h.mzML Peak area	P5_H9_GUDCA_ctrl_24h.mzML	P5	H9	GUDCA	ctrl	24h
P3_H5_TCA_ctrl_24h.mzML Peak area	P3_H5_TCA_ctrl_24h.mzML	P3	H5	TCA	ctrl	24h
P5_H5_TCA_ctrl_24h.mzML Peak area	P5_H5_TCA_ctrl_24h.mzML	P5	H5	TCA	ctrl	24h
P3_H3_TCDCA_ctrl_24h.mzML Peak area	P3_H3_TCDCA_ctrl_24h.mzML	P3	H3	TCDCA	ctrl	24h
P5_H3_TCDCA_ctrl_24h.mzML Peak area	P5_H3_TCDCA_ctrl_24h.mzML	P5	H3	TCDCA	ctrl	24h
P3_H2_TDCA_ctrl_24h.mzML Peak area	P3_H2_TDCA_ctrl_24h.mzML	P3	H2	TDCA	ctrl	24h
P5_H2_TDCA_ctrl_24h.mzML Peak area	P5_H2_TDCA_ctrl_24h.mzML	P5	H2	TDCA	ctrl	24h
P5_H12_TLCA_ctrl_24h.mzML Peak area	P5_H12_TLCA_ctrl_24h.mzML	P5	H12	TLCA	ctrl	24h
P3_H1_TLCA_ctrl_24h.mzML Peak area	P3_H1_TLCA_ctrl_24h.mzML	P3	H1	TLCA	ctrl	24h
P5_H1_TLCA_ctrl_24h.mzML Peak area	P5_H1_TLCA_ctrl_24h.mzML	P5	H1	TLCA	ctrl	24h
P5_H4_TUDCA_ctrl_24h.mzML Peak area	P5_H4_TUDCA_ctrl_24h.mzML	P5	H4	TUDCA	ctrl	24h
P3_H4_TUDCA_ctrl_24h.mzML Peak area	P3_H4_TUDCA_ctrl_24h.mzML	P3	H4	TUDCA	ctrl	24h
P9_H10_GCA_ctrl_48h.mzML Peak area	P9_H10_GCA_ctrl_48h.mzML	P9	H10	GCA	ctrl	48h
P6_H10_GCA_ctrl_48h.mzML Peak area	P6_H10_GCA_ctrl_48h.mzML	P6	H10	GCA	ctrl	48h
P9_H8_GCDCA_ctrl_48h.mzML Peak area	P9_H8_GCDCA_ctrl_48h.mzML	P9	H8	GCDCA	ctrl	48h
P6_H8_GCDCA_ctrl_48h.mzML Peak area	P6_H8_GCDCA_ctrl_48h.mzML	P6	H8	GCDCA	ctrl	48h
P6_H7_GDCA_ctrl_48h.mzML Peak area	P6_H7_GDCA_ctrl_48h.mzML	P6	H7	GDCA	ctrl	48h
P9_H7_GDCA_ctrl_48h.mzML Peak area	P9_H7_GDCA_ctrl_48h.mzML	P9	H7	GDCA	ctrl	48h
P6_H6_GLCA_ctrl_48h.mzML Peak area	P6_H6_GLCA_ctrl_48h.mzML	P6	H6	GLCA	ctrl	48h
P9_H6_GLCA_ctrl_48h.mzML Peak area	P9_H6_GLCA_ctrl_48h.mzML	P9	H6	GLCA	ctrl	48h
P9_H9_GUDCA_ctrl_48h.mzML Peak area	P9_H9_GUDCA_ctrl_48h.mzML	P9	H9	GUDCA	ctrl	48h
P6_H9_GUDCA_ctrl_48h.mzML Peak area	P6_H9_GUDCA_ctrl_48h.mzML	P6	H9	GUDCA	ctrl	48h
P2_H5_TCA_ctrl_48h.mzML Peak area	P2_H5_TCA_ctrl_48h.mzML	P2	H5	TCA	ctrl	48h
P9_H5_TCA_ctrl_48h.mzML Peak area	P9_H5_TCA_ctrl_48h.mzML	P9	H5	TCA	ctrl	48h
P6_H5_TCA_ctrl_48h.mzML Peak area	P6_H5_TCA_ctrl_48h.mzML	P6	H5	TCA	ctrl	48h
P9_H3_TCDCA_ctrl_48h.mzML Peak area	P9_H3_TCDCA_ctrl_48h.mzML	P9	H3	TCDCA	ctrl	48h
